1 15 6 1 245 2
2 16 12 1 143 3
3 17 12 1 104 5
4 18 19 1 71 7
5 18 20 1 56 8
6 18 19 1 54 10
7 19 20 1 53 11
8 19 29 1 52 13
9 19 31 1 42 15
10 19 31 1 40 16
20 20 43 1 13 31
30 20 45 1 15 46
40 20 53 1 23 59
50 21 54 1 20 72
60 21 54 1 26 88
70 21 62 1 24 102
80 21 60 1 43 115
90 21 62 1 39 129
100 21 61 1 37 143
110 21 63 1 34 157
120 21 61 1 100 173
130 22 67 1 96 187
140 22 69 1 87 199
150 22 69 1 81 215
160 22 67 1 74 228
170 22 68 1 69 243
180 22 69 1 75 257
190 22 71 1 74 273
200 22 67 1 72 283
