1 27 10 1 379 3
2 29 20 1 199 6
3 30 20 1 145 9
4 31 32 1 112 11
5 32 33 1 103 14
6 31 33 1 88 17
7 33 34 1 68 19
8 33 48 1 58 22
9 33 51 1 55 25
10 34 52 1 51 27
20 34 73 1 45 53
30 35 75 1 25 76
40 36 88 1 37 101
50 36 90 1 32 124
60 37 89 1 43 148
70 37 104 1 38 170
80 37 101 1 68 195
90 37 104 1 63 217
100 37 103 1 57 241
110 37 106 1 52 265
120 38 101 1 87 290
130 38 112 1 86 313
140 38 116 1 127 336
150 38 115 1 135 358
160 38 112 1 130 382
170 38 113 1 116 406
180 38 115 1 107 427
190 38 119 1 98 450
200 38 113 1 107 472
