.025 0 0 0 3 0
.05 0 0 0 4 0
.075 1 1 0 5 0
.1 1 1 0 11 0
.125 2 2 0 22 0
.15 3 2 0 36 0
.175 3 2 0 52 0
.2 4 3 0 54 1
.25 5 4 0 52 1
.3 6 4 0 57 1
.35 7 5 0 65 1
.4 8 6 0 85 2
.45 9 7 0 99 2
.5 11 8 0 103 2
.6 13 9 0 114 3
.7 15 11 1 137 3
.8 17 13 1 144 4
.9 20 15 1 160 4
1 24 16 1 176 5
1.1 26 18 1 189 5
1.2 28 19 1 200 6
1.3 30 21 1 212 6
1.4 33 23 1 229 8
1.5 35 25 1 247 7
1.6 38 26 1 266 8
1.7 40 28 1 282 8
1.8 42 30 1 291 9
1.9 48 31 1 308 10
2 50 33 1 314 10
